#weight  minuslogpost      logA        n_s     omega_b  omega_cdm  theta_s_1e2    tau_reio           A_s       H0  minuslogprior  minuslogprior__0       chi2  chi2__my_cl_like
     15    -19047.594 3.0065375 0.95960687 0.022213199    0.12497    1.0416529 0.025335641 2.0217277e-09 65.44563     -3.5494364        -3.5494364  -38088.09         -38088.09
     17    -19046.091 2.9974243 0.96128118 0.022228032 0.12467908    1.0418028 0.021559365 2.0033869e-09 65.60642     -3.5494364        -3.5494364 -38085.083        -38085.083
     11    -19045.756 3.0002717 0.96160151 0.022247185 0.12452454    1.0418932 0.023170517 2.0090996e-09 65.70583     -3.5494364        -3.5494364 -38084.413        -38084.413
      1    -19045.868 2.9996259  0.9614517 0.022244351 0.12452872    1.0418788 0.022861664 2.0078024e-09 65.69705     -3.5494364        -3.5494364 -38084.638        -38084.638
      7    -19047.075 2.9974278 0.95950873 0.022147251 0.12521854    1.0412352 0.020271812 2.0033939e-09 65.16454     -3.5494364        -3.5494364  -38087.05         -38087.05
      2    -19046.697  2.993034 0.95400333 0.022117319 0.12631464    1.0405432 0.016799875 1.9946107e-09 64.54514     -3.5494364        -3.5494364 -38086.296        -38086.296
      3    -19046.519 3.0007408 0.95448994 0.022117605 0.12640481    1.0406324 0.020514021 2.0100421e-09   64.545     -3.5494364        -3.5494364  -38085.94         -38085.94
      5     -19046.12 3.0030111 0.95288081 0.022072678 0.12680812    1.0404735 0.021300842 2.0146107e-09 64.31926     -3.5494364        -3.5494364 -38085.141        -38085.141
      7    -19050.109 3.0386754 0.95827017 0.022369677 0.12356248    1.0418192 0.041832798 2.0877571e-09 66.11851     -3.5494364        -3.5494364 -38093.118        -38093.118
      5    -19050.156 3.0386376 0.95837214 0.022367753 0.12354767    1.0418131 0.041843178 2.0876781e-09 66.11979     -3.5494364        -3.5494364 -38093.214        -38093.214
      6    -19049.725 3.0237947 0.95413499 0.022161564 0.12502991    1.0407699 0.032757623 2.0569198e-09 65.08702     -3.5494364        -3.5494364 -38092.351        -38092.351
      4    -19049.952 3.0150631 0.95397122 0.022160137 0.12483182    1.0407262 0.028621031 2.0390377e-09 65.13767     -3.5494364        -3.5494364 -38092.805        -38092.805
      5    -19049.896 3.0146027  0.9525783 0.022054273 0.12524217    1.0407993 0.028053989 2.0380992e-09 64.92876     -3.5494364        -3.5494364 -38092.693        -38092.693
      4     -19050.26 3.0299004 0.95384849 0.022100876 0.12505048    1.0410793 0.036117762 2.0695172e-09 65.12734     -3.5494364        -3.5494364 -38093.421        -38093.421
      1     -19049.03 3.0269903  0.9536841 0.022089292 0.12448098    1.0408158 0.035662644 2.0635034e-09 65.22112     -3.5494364        -3.5494364 -38090.961        -38090.961
      1    -19049.018 3.0228986 0.95360648  0.02207685 0.12456489    1.0407313 0.033521728 2.0550773e-09 65.15376     -3.5494364        -3.5494364 -38090.938        -38090.938
     11    -19050.984 3.0250349 0.95896513 0.022254778 0.12315035     1.040951 0.036013171 2.0594724e-09 65.86659     -3.5494364        -3.5494364 -38094.869        -38094.869
